"pft","model_name","model_short","n_predictors","r2_mean","r2_sd","mse_mean","mse_sd","r2_drop","r2_drop_pct","p1_r2","p1_oob_mse","delta_r2_vs_p1","delta_mse_vs_p1"
"Coccolithophores","Full (12 predictors)","full",12,0.301531264878117,0.184008463305932,0.00958436649173402,0.00534719386475548,0,0,0.91301858510975,0.00124433504876026,-0.611487320231633,0.00834003144297376
"Coccolithophores","No spatial (10)","no_spatial",10,0.0641360254806009,0.303776537555849,0.0122701546634341,0.00623721610393531,0.237395239397516,78.7,0.795067452386399,0.00293171537792401,-0.730931426905798,0.00933843928551006
"Coccolithophores","No sea ice (8)","no_ice",8,0.301623753616444,0.189530323443653,0.0095497175004665,0.00531091062519548,-9.24887383270123e-05,0,0.911831093577877,0.00126132301492614,-0.610207339961433,0.00828839448554036
"Coccolithophores","No atmospheric (9)","no_atm",9,0.13957652007903,0.158897047841314,0.0120871879726841,0.00672950206861739,0.161954744799087,53.7,0.675438578787456,0.00464309706159402,-0.535862058708426,0.00744409091109008
"Coccolithophores","Ocean only (7)","ocean_only",7,-0.117479660244657,0.211673323672878,0.0156132209169129,0.00860326872760332,0.419010925122774,139,0.237487715077842,0.0109083160171181,-0.354967375322499,0.00470490489979479
"Diatoms","Full (12 predictors)","full",12,0.257344691472118,0.0484143335962159,0.0116528484505925,0.00286371979517476,0,0,0.69956943365804,0.00472314208924016,-0.442224742185922,0.0069297063613523
"Diatoms","No spatial (10)","no_spatial",10,0.197853706481167,0.046259834081702,0.0126036251130318,0.00318660801582552,0.0594909849909503,23.1,0.62642942432369,0.00587299398580544,-0.428575717842523,0.00673063112722631
"Diatoms","No sea ice (8)","no_ice",8,0.25515915311833,0.0488765188601172,0.0116852046684146,0.00287041116971955,0.00218553835378815,0.8,0.699604017404891,0.00472259838973466,-0.444444864286561,0.00696260627867994
"Diatoms","No atmospheric (9)","no_atm",9,0.0883917921774413,0.0261836952749566,0.0143516723758349,0.0036360080883234,0.168952899294676,65.7,0.473453787302618,0.00827796122545757,-0.385061995125177,0.00607371115037735
"Diatoms","Ocean only (7)","ocean_only",7,0.0197843988450321,0.0229280520521627,0.0154055353768338,0.00377267615838501,0.237560292627086,92.3,0.182941716067586,0.0128451722379373,-0.163157317222554,0.00256036313889652
"Phaeocystis","Full (12 predictors)","full",12,0.458520648443742,0.0420359344295058,0.0583120667429253,0.00545017446234401,0,0,0.880051048329344,0.0149226316520275,-0.421530399885602,0.0433894350908978
"Phaeocystis","No spatial (10)","no_spatial",10,0.36747415811573,0.0434195587556683,0.0680863152242226,0.00538550489497806,0.0910464903280122,19.9,0.793161546438679,0.0257323970820973,-0.425687388322949,0.0423539181421253
"Phaeocystis","No sea ice (8)","no_ice",8,0.461289408890296,0.04379938999771,0.0580183349398012,0.00567365923987193,-0.00276876044655344,-0.6,0.880758388592905,0.0148346327319975,-0.419468979702609,0.0431837022078037
"Phaeocystis","No atmospheric (9)","no_atm",9,0.311857266288921,0.0589151829191744,0.0740063470641751,0.00601549826314881,0.146663382154821,32,0.681994838723113,0.0395624456827958,-0.370137572434192,0.0344439013813793
"Phaeocystis","Ocean only (7)","ocean_only",7,0.172568137719306,0.056595671176712,0.0889562058661462,0.00484484804608109,0.285952510724437,62.4,0.389886523543581,0.0759031116845055,-0.217318385824275,0.0130530941816407
