"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","ice_area_flux_cumOct",-1094941.9,0.0271927941351967,0.0239029925693029,0.0286467664225677,1145,5
"Coccolithophores","ice_area_flux_cumOct",-1064954.4,0.0100920525883012,0.0108067149606009,0.0113505253921078,1717,5
"Coccolithophores","ice_area_flux_cumOct",-1030765.35,0.00313089381221552,0.00137893597106484,0.00465648470533638,1368,5
"Coccolithophores","ice_area_flux_cumOct",-1004298.8,0.00386843293773573,0.00259468005207869,0.00525488683530732,1645,5
"Coccolithophores","ice_area_flux_cumOct",-989007.35,-0.00263893969557901,-0.00302696388982316,-0.00280401287250829,1478,5
"Coccolithophores","ice_area_flux_cumOct",-974171.25,-0.00375392005738535,-0.00416483728223733,-0.00371605710978036,1370,5
"Coccolithophores","ice_area_flux_cumOct",-955284.2,-0.00399139093220266,-0.00470042157189347,-0.00388509284221961,1618,5
"Coccolithophores","ice_area_flux_cumOct",-940621.85,-0.00432784203935236,-0.00497398864706014,-0.00425541880666599,1616,5
"Coccolithophores","ice_area_flux_cumOct",-920699.95,-0.00386947418364623,-0.00426874688300757,-0.00403609908609404,1343,5
"Coccolithophores","ice_area_flux_cumOct",-902694.95,-0.00348288002644602,-0.0039779069621786,-0.00361556607681494,1409,5
"Coccolithophores","ice_area_flux_cumOct",-891877.3,-0.00398319298969027,-0.00436216112887299,-0.00397303706451562,1694,5
"Coccolithophores","ice_area_flux_cumOct",-883250.7,-0.00390470358003931,-0.00398470338072433,-0.00379771130622512,1307,5
"Coccolithophores","ice_area_flux_cumOct",-869829.35,-0.00315300895796044,-0.00335744670161763,-0.00295997611846296,1634,5
"Coccolithophores","ice_area_flux_cumOct",-851860.75,-0.00334506880534551,-0.00388335596243514,-0.00290512595171782,1483,5
"Coccolithophores","ice_area_flux_cumOct",-838541.05,-0.00299801300818019,-0.00337855838823121,-0.00252885470983974,1545,5
"Coccolithophores","ice_area_flux_cumOct",-828009.4,-0.00261859212170223,-0.00313247343924897,-0.0021520409578947,1332,5
"Coccolithophores","ice_area_flux_cumOct",-801844.95,-0.00220596558307914,-0.00294752400434425,-0.00182092479871739,1681,5
"Coccolithophores","ice_area_flux_cumOct",-770456.75,-0.00175806379124894,-0.00266553221261071,-0.00117942449640074,1595,5
"Coccolithophores","ice_area_flux_cumOct",-711927.15,0.00289474206328726,0.00199620581519604,0.0035715406621172,1447,5
"Coccolithophores","ice_area_flux_cumOct",-630775.8,0.00374825366276513,0.00281739677778405,0.00381016216381787,1573,5
"Coccolithophores","ice_area_flux_current",-102652.05,-0.0111559260797805,-0.0119149235497813,-0.0101520486702238,1387,5
"Coccolithophores","ice_area_flux_current",-79049.55,-0.011421757114323,-0.0122442830571942,-0.0103049855631695,1466,5
"Coccolithophores","ice_area_flux_current",-64230.1,-0.00945824004694285,-0.0108239363051561,-0.00909261893066369,1421,5
"Coccolithophores","ice_area_flux_current",-58320,-0.00928605865899474,-0.0106289870629521,-0.00909784531963164,1435,5
"Coccolithophores","ice_area_flux_current",-52910.85,-0.00962384995797189,-0.0110542517487908,-0.00904598338222109,1722,5
"Coccolithophores","ice_area_flux_current",-46990.5,-0.00932239524975342,-0.0110022670834049,-0.00875661504929214,1326,5
"Coccolithophores","ice_area_flux_current",-43958.3,-0.00584414456183663,-0.00683554366716276,-0.00474846362916333,1485,5
"Coccolithophores","ice_area_flux_current",-40081.2,-0.00440798652840723,-0.00625433488592082,-0.00320579260046094,1480,5
"Coccolithophores","ice_area_flux_current",-34872.2,-0.00253323329432021,-0.00486191155600418,-0.000589377605239744,1728,5
"Coccolithophores","ice_area_flux_current",-30974,0.00431835891215411,0.0040798187392932,0.00540610704394659,1221,5
"Coccolithophores","ice_area_flux_current",-27912.75,0.00342564164307883,0.00337806829469096,0.00423242680039948,1462,5
"Coccolithophores","ice_area_flux_current",-22518.05,0.00178117454640306,0.00159094103440292,0.00233711947191874,1417,5
"Coccolithophores","ice_area_flux_current",-18644.15,0.0038250748608458,0.00372768420926172,0.00380142682735241,1633,5
"Coccolithophores","ice_area_flux_current",-17347.95,0.00508069113863605,0.00465341867104241,0.0053168739282162,1775,5
"Coccolithophores","ice_area_flux_current",-14226,0.00762874003232019,0.00649395502677921,0.00759434883033764,1526,5
"Coccolithophores","ice_area_flux_current",-10281.85,0.00749630815769998,0.00585364080364727,0.00849725612358812,1449,5
"Coccolithophores","ice_area_flux_current",-6922.2,0.00758267171657942,0.00609156381733312,0.00924679476723043,1209,5
"Coccolithophores","ice_area_flux_current",-4113,0.00835058711429552,0.00652836063945397,0.010347070539465,1612,5
"Coccolithophores","ice_area_flux_current",-790,0.00890252966293625,0.00726251657515278,0.009766418424022,1687,5
"Coccolithophores","ice_area_flux_current",4800.65,0.0123646643570028,0.0109328462479731,0.0134867117388095,1559,5
"Coccolithophores","ice_area_flux_lag1",-143980.5,-0.0154706834071743,-0.0170119179003591,-0.0150172793112246,1332,5
"Coccolithophores","ice_area_flux_lag1",-109727.15,-0.0154198368306491,-0.0171001384503951,-0.0146988137560862,1519,5
"Coccolithophores","ice_area_flux_lag1",-98890.4,-0.014375247715691,-0.0157292245894372,-0.0138739854376144,1392,5
"Coccolithophores","ice_area_flux_lag1",-92388.6,-0.0139489295160713,-0.0147450060416867,-0.0130514766935964,1438,5
"Coccolithophores","ice_area_flux_lag1",-83075.95,-0.0141245459356903,-0.0150683026052697,-0.0132503130745436,1570,5
"Coccolithophores","ice_area_flux_lag1",-73180.6,-0.0132568310187681,-0.0147778061105136,-0.0124983467510313,1560,5
"Coccolithophores","ice_area_flux_lag1",-65703.1,-0.00538356355556621,-0.00610699555487147,-0.00473649013773514,1656,5
"Coccolithophores","ice_area_flux_lag1",-59318.95,-0.00444142398307682,-0.00576234826290835,-0.00357159390642991,1359,5
"Coccolithophores","ice_area_flux_lag1",-57087.7,-0.00314553683747267,-0.00429210806128363,-0.00198060432295428,1418,5
"Coccolithophores","ice_area_flux_lag1",-52428.75,-0.0026057983375773,-0.00305256873057099,-0.00223829371373971,1740,5
"Coccolithophores","ice_area_flux_lag1",-46458.55,-0.00175079562325583,-0.00219317654804683,-0.00105092435379665,1462,5
"Coccolithophores","ice_area_flux_lag1",-41696.5,0.00626200618327976,0.00536297072599293,0.00841181774615616,1398,5
"Coccolithophores","ice_area_flux_lag1",-37485.5,0.0116326640346158,0.0104923944351656,0.0127686339077444,1511,5
"Coccolithophores","ice_area_flux_lag1",-34042.15,0.0117113596310465,0.0106719143666115,0.0120700223552476,1495,5
"Coccolithophores","ice_area_flux_lag1",-29113.8,0.00944978361338009,0.0084292910373638,0.00989652292669338,1471,5
"Coccolithophores","ice_area_flux_lag1",-22279.4,0.0093408344969903,0.00801283769313146,0.00988705336883616,1615,5
"Coccolithophores","ice_area_flux_lag1",-17055.05,0.0112124113722845,0.0104612127060933,0.0111950086659951,1488,5
"Coccolithophores","ice_area_flux_lag1",-13933.1,0.011319460051486,0.0110555509002001,0.0124871673909015,1234,5
"Coccolithophores","ice_area_flux_lag1",-8274.95,0.0112589625962,0.0104587421466638,0.0121189899083308,1603,5
"Coccolithophores","ice_area_flux_lag1",2004.65,0.0183633010223399,0.0171166783063235,0.0187351005407532,1739,5
"Coccolithophores","ice_area_flux_lag2",-167123.35,-0.0125451183546698,-0.0142214084092801,-0.0107274886820727,1372,5
"Coccolithophores","ice_area_flux_lag2",-149032.65,-0.0129149157689486,-0.0145965573323432,-0.0110193585621471,1472,5
"Coccolithophores","ice_area_flux_lag2",-131478,-0.011952077326372,-0.0134715130100539,-0.00978694385629027,1388,5
"Coccolithophores","ice_area_flux_lag2",-116519.65,-0.0115859051192791,-0.0134117433195011,-0.00931508310782054,1535,5
"Coccolithophores","ice_area_flux_lag2",-110905.7,-0.010923517507503,-0.0128918217387916,-0.00872980243934491,1429,5
"Coccolithophores","ice_area_flux_lag2",-105966.6,-0.0101834152576651,-0.0115305478887328,-0.00845761029945321,1541,5
"Coccolithophores","ice_area_flux_lag2",-98890.4,-0.00683122746196082,-0.00935492021560697,-0.00720439574225236,1629,5
"Coccolithophores","ice_area_flux_lag2",-92388.6,-0.00755645117508157,-0.00935425774486209,-0.00801821714473224,1571,5
"Coccolithophores","ice_area_flux_lag2",-85134.95,-0.00669074964283865,-0.00779597651557475,-0.00647308037494074,1342,5
"Coccolithophores","ice_area_flux_lag2",-77819.75,-0.00458822881523318,-0.00590247017428271,-0.00496622853290787,1482,5
"Coccolithophores","ice_area_flux_lag2",-73151.45,-0.00279988376161162,-0.00393910377188855,-0.00346073937088615,1581,5
"Coccolithophores","ice_area_flux_lag2",-65720.7,0.0100882121679844,0.0094538080255317,0.0115569198810299,1367,5
"Coccolithophores","ice_area_flux_lag2",-59740.55,0.0059123992982003,0.00502218796011457,0.00665057140997465,1558,5
"Coccolithophores","ice_area_flux_lag2",-57837.25,0.0052453182857096,0.00475846016595568,0.0061608621328961,1601,5
