"pft","model_name","model_short","n_predictors","r2_mean","r2_sd","mse_mean","mse_sd","r2_drop","r2_drop_pct","p2_r2","p2_mse"
"Coccolithophores","Full (20 predictors)","full",20,0.351005931265919,0.202084859021808,0.00875894958827182,0.0046404740297145,0,0,0.301531264878117,0.00958436649173402
"Coccolithophores","No spatial (18)","no_spatial",18,0.209126541213293,0.248700884337322,0.0103415470073826,0.00502421079293067,0.141879390052627,40.4,0.0641360254806009,0.0122701546634341
"Coccolithophores","No local ice (16)","no_local_ice",16,0.356884246332514,0.183975816072261,0.00870673161841453,0.0046298637211932,-0.00587831506659492,-1.7,0.301623753616444,0.0095497175004665
"Coccolithophores","No export (12)","no_export",12,0.305257345208442,0.179528153104613,0.0095835327447707,0.00543338319243466,0.0457485860574777,13,NA,NA
"Coccolithophores","No atmospheric (17)","no_atm",17,0.333912913344887,0.179741743363621,0.00909954778464675,0.00498947580162405,0.0170930179210322,4.9,0.13957652007903,0.0120871879726841
"Coccolithophores","Ocean only (3)","ocean_only",3,-0.320455654121891,0.359638992759068,0.0177080135811428,0.00887291489638073,0.67146158538781,191.3,-0.117479660244657,0.0156132209169129
"Diatoms","Full (20 predictors)","full",20,0.36659617151891,0.0568951863564744,0.00984901446693865,0.00199659502262979,0,0,0.257344691472118,0.0116528484505925
"Diatoms","No spatial (18)","no_spatial",18,0.335290185959471,0.0630796247918305,0.0103235709511979,0.00203260936445983,0.0313059855594394,8.5,0.197853706481167,0.0126036251130318
"Diatoms","No local ice (16)","no_local_ice",16,0.363517423570487,0.0580486101677072,0.00989465502741502,0.00199855569361058,0.00307874794842361,0.8,0.25515915311833,0.0116852046684146
"Diatoms","No export (12)","no_export",12,0.257270011590846,0.048402593798809,0.0116552965641778,0.0028742115083439,0.109326159928064,29.8,NA,NA
"Diatoms","No atmospheric (17)","no_atm",17,0.358829455264742,0.0604352116478965,0.00995936858807694,0.0019741501909765,0.00776671625416808,2.1,0.0883917921774413,0.0143516723758349
"Diatoms","Ocean only (3)","ocean_only",3,-0.064542442255523,0.0439143854304472,0.0166673448848491,0.00378357120439742,0.431138613774433,117.6,0.0197843988450321,0.0154055353768338
"Phaeocystis","Full (20 predictors)","full",20,0.544719431267383,0.0220759564659183,0.0490227031686451,0.00330598167075697,0,0,0.458520648443742,0.0583120667429253
"Phaeocystis","No spatial (18)","no_spatial",18,0.482111561056983,0.0210775148068521,0.0557610859943957,0.0033842918207016,0.0626078702104002,11.5,0.36747415811573,0.0680863152242226
"Phaeocystis","No local ice (16)","no_local_ice",16,0.545669864134672,0.02597763682246,0.0489275941531176,0.00375335829267946,-0.00095043286728913,-0.2,0.461289408890296,0.0580183349398012
"Phaeocystis","No export (12)","no_export",12,0.457662100010559,0.0425907610811648,0.0584004949531952,0.00545998075430473,0.0870573312568241,16,NA,NA
"Phaeocystis","No atmospheric (17)","no_atm",17,0.524660004481609,0.0211980830446562,0.0511784358789783,0.00320724117469029,0.0200594267857737,3.7,0.311857266288921,0.0740063470641751
"Phaeocystis","Ocean only (3)","ocean_only",3,0.075501125588892,0.0649828679116166,0.0994045035294378,0.00596324790181848,0.469218305678491,86.1,0.172568137719306,0.0889562058661462
