"Event","Ord.No","Campaign","Station","Date.Time","Latitude","Longitude","depth","chl.a.DV.chl.a.childe.a","chl.a","chlide.a","DV.chl.a..µg.l.","chl.b.DV.chl.b.childe.b","hex.Fuco","but.Fuco","Fuco","Perid","Zea","Allo","chl.a.Diatoms","chl.a.Dinoflagellata","chl.a.GA","chl.a.Haptophyta","chl.a.Prokaryotes","chl.a.Prochlorococcus","time"
"PS74/104-1",1,"PS74","104-1",2009-07-11 21:18:00,79.0672,4.1962,9.9,1.394711434,1.394711434,0,0,0.08642814,0.339278397,0.054675747,0.378878135,0.039390565,0.005140125,0.006438596,0.630464365,0.068600338,0.259008709,0.383249512,0.00325518,0,1247347080
"PS74/104-1",2,"PS74","104-1",2009-07-11 21:18:00,79.0672,4.1962,9.9,2.978661941,2.978661941,0,0,0.354768395,0.264654758,0.042119701,0.740249791,0.097091151,0.02775376,0.02296689,1.339655046,0.173456454,1.090638663,0.276319992,0.018030175,0,1247347080
"PS74/107-1",3,"PS74","107-1",2009-07-12 19:10:00,79.1125,4.5645,9.9,2.257573442,2.257573442,0,0,0.237907934,0.677832223,0.068587584,0.397024319,0.101834782,0.020526037,0.01075377,0.669324265,0.169477372,0.681317684,0.659264336,0.012421899,0,1247425800
"PS74/108-1",4,"PS74","108-1",2009-07-12 22:28:00,79.1298,4.9045,9.9,0.983535259,0.983535259,0,0,0.153244242,0.165069195,0.03664577,0.201729481,0.093986193,0,0.015323893,0.273264151,0.133618897,0.374898016,0.154405227,0,0,1247437680
"PS74/112-1",5,"PS74","112-1",2009-07-14 03:32:00,79.0588,3.4813,9.9,1.115517198,1.115517198,0,0,0.260673205,0.168695185,0.044651986,0.19890607,0.065469671,0,0.021362794,0.241547013,0.085108201,0.583113099,0.148542689,0,0,1247542320
"PS74/119-1",6,"PS74","119-1",2009-07-16 05:20:00,79.412,4.6605,9.9,1.618293896,1.618293896,0,0,0.164014694,0.342518433,0.045393926,0.430338461,0,0.018981567,0.020319232,0.699936202,0,0.471740674,0.363278733,0.01153705,0,1247721600
"PS74/120-1",7,"PS74","120-1",2009-07-16 09:48:00,79.2825,4.3307,9.9,1.535691905,1.535691905,0,0,0.180867444,0.218343507,0.069624854,0.299350861,0.146901251,0.032633314,0.026569295,0.439164697,0.234779508,0.49741657,0.249412456,0.018965451,0,1247737680
"PS74/127-1",8,"PS74","127-1",2009-07-17 20:30:00,78.9172,5.0022,9.9,1.543634504,1.543634504,0,0,0.121009549,0.353579361,0.046120276,0.315270261,0.055652301,0.012250274,0,0.5739103,0.105834416,0.395993983,0.426391756,0.008471433,0,1247862600
"PS74/128-1",9,"PS74","128-1",2009-07-18 00:55:00,78.7812,5.3328,9.9,1.206698757,1.206698757,0,0,0.079124836,0.181426503,0.056135245,0.302586725,0.051591641,0.007451555,0.019309229,0.530745998,0.095966809,0.253267632,0.236638346,0.005040295,0,1247878500
"PS74/132-1",10,"PS74","132-1",2009-07-18 18:03:00,79.031,7.0022,9.9,1.258734095,1.258734095,0,0,0.098994164,0.158798856,0.032380108,0.304990113,0.010718914,0.007905573,0.018689262,0.604659932,0.021702984,0.344908115,0.208789484,0.005820621,0,1247940180
"PS74/133-1",11,"PS74","133-1",2009-07-18 22:43:00,78.9818,9.425,9.9,0.764364094,0.764364094,0,0,0.181030043,0.104474577,0.007056714,0.079865573,0.004810532,0.002997671,0.060989632,0.112609732,0.006813626,0.441225925,0.088461178,0.001543962,0,1247956980
"PS74/134-1",12,"PS74","134-1",2009-07-20 12:21:00,72.1692,14.6307,9.9,0.924655776,0.924655776,0,0,0.032261604,0.282088283,0.049732362,0.276802446,0.058317668,0.006580042,0.017035345,0.401663722,0.089590544,0.085285094,0.282358045,0.003675852,0,1248092460
